Igbo,English
Onye isi Chelsea Pochettino enweela nkụda mmụọ na ha gbara megide Bournemouth,Chelsea Boss Pochettino Disappointed With Draw Against Bournemouth
Disasi: Atala ndị Fans Chelsea ụta maka ịkwa anyị ụta,Disasi: Don’t Blame Chelsea Fans For Booing Us
Onye nkuzi Milan Pioli ga-ezute ndị isi ọgbakọ ka 5-1 meriri Inter,Milan Coach Pioli To Meet With Club Directors After 5-1 Defeat To Inter
EPL: 'Imeri dị mkpa' -Sanchez na-ekwu okwu n'ihu Bournemouth Vs Chelsea,EPL: ‘Winning Is Important’ –Sanchez Speaks Ahead Bournemouth Vs Chelsea
Jota: Liverpool nwere ike ịlụso Man City ọgụ maka aha Premier League,Jota: Liverpool Can Fight Man City For Premier League Title
Man United debere ndekọ Premier League achọghị ka emeri Brighton,Man United Set Unwanted Premier League Record After Defeat To Brighton
EPL: Onyeka dị ka Newcastle United Pip Brentford,EPL: Onyeka Subbed On As Newcastle United Pip Brentford
Brighton setịpụrụ ndekọ megide Man United mgbe nnukwu mmeri na Old Trafford,Brighton Set Record Against Man United After Big Win At Old Trafford
Liverpool gbara egwu nke ọma na ọkara nke abụọ na Wolves –Klopp,Liverpool Played Better In Second Half At Wolves –Klopp
Bundesliga: Akpogunma na-efu dị ka Hoffenheim Edge Freiburg,Bundesliga: Akpogunma Missing As Hoffenheim Edge Freiburg
"Nlaghachi nke Liverpool Stage Mmeri Vs Wolves, Gagoro n'Ọtụ Isi","Liverpool Stage Comeback Win Vs Wolves, Move Up To Top Spot"
Isi ihe atọ ma ọ bụ ihe ọ bụla - Arteta na-ekwu okwu n'ihu Everton Vs Arsenal,Three Points Or Nothing –Arteta Speaks Ahead Everton Vs Arsenal
Dennis: Ka mkparịta ụka mụ na Adebayor siri mee ka m kwenye ịbanye Basaksehir,Dennis: How My Conversation With Adebayor Convinced Me To Join Basaksehir
Amrabat adịghị njikere maka mpụta mbụ Manchester United - Ten Hag,Amrabat Not Ready For Manchester United Debut — Ten Hag
"WAFCON 2024: Oshoala, Nnadozie, Plumptre, 21 Ndị ọzọ ga-eche Sao Tome and Principe ihu.","WAFCON 2024: Oshoala, Nnadozie, Plumptre, 21 Others To Face Sao Tome and Principe"
Alisson meriri ihe nrite Premier League nke ọnwa Ọgọst,Alisson Wins Premier League Save Of The Month Award For August
2026 WCQ: Ọsọ enweghị mmeri nke Rwanda na-aga n'ihu ka mfu ụlọ na Burundi na enyi,2026 WCQ: Rwanda’s Winless Run Continues After Home Loss To Burundi In Friendly
Ndị otu siri ike ịkụ' -Klopps na-ekwu okwu n'ihu Wolves Vs Liverpool,‘Difficult Team To Beat’ –Klopps Speaks Ahead Wolves Vs Liverpool
"Bundesliga: Kane, Boniface - Ndị na-akwado ya ka Bayern Vs Leverkusen Isi akụkọ Matchday 4 Clashes","Bundesliga: Kane, Boniface – The Protagonists As Bayern Vs Leverkusen Headlines Matchday 4 Clashes"
Nanị: Osimhen nwere ike imeri Ballon d'Or na Chukwu N'akụkụ Ya -Alloy Agu,Exclusive: Osimhen Can Win Ballon d’Or With God On His Side –Alloy Agu
CAF kelere Osimhen na nhọpụta onye ọkpụkpọ FIFA kacha mma,CAF Salutes Osimhen On The Best FIFA Men’s Player Nomination
Ịgbaji ndekọ abụghịzi ihe mgbaru ọsọ m -Lewandowski,Breaking Records Is No Longer My Main Goal –Lewandowski
Wenger: Arsenal enweghị ike ịgbara aha Premier League n'aka Man City,Wenger: Arsenal Can’t Wrestle Premier League Title From Man City
Super Eagles kelere Osimhen na nhọpụta ndị egwuregwu bọọlụ kacha mma nke FIFA,Super Eagles Congratulate Osimhen On The Best FIFA Men’s Player Nomination
CAF na-eme ememme Oparanozie ka ọ kwụsịrị ezumike nka na bọọlụ,CAF Celebrates Oparanozie After Retirement From Football
Enweghị m ike ichere Milan Derby -Leao na-ekwu okwu n'ihu Inter Milan Vs AC Milan,I Can’t Wait For Milan Derby –Leao Speaks Ahead Inter Milan Vs AC Milan
Emery: Njikọ Njikọ kacha sie ike n'ụwa,Emery: Premier League Most Difficult League In The World
Nanị: Ugo na-akpụzi maka 2023 AFCON – Babangida,Exclusive: Eagles Shaping Up For 2023 AFCON –Babangida
Bellingham ga-emeri Ballon d'Or -Cundy,Bellingham Destined To Win Ballon d’Or –Cundy
Oparanozie Ezi Onye Ndú N'ụdị Niile —Plumptre,Oparanozie A True Leader In All Forms —Plumptre
Ezigbo ihu ọma n'ọdịniihu' - Okobi na-emeghachi omume na ezumike nka Oparanozie n'egwuregwu bọọlụ.,‘Good Luck In The Future’ — Okobi Reacts To Oparanozie’s Retirement From Football
Cancelo: M ga-eme ihe niile ịgbawa na Barça,Cancelo: I’ll Do Everything To Explode At Barca
Southgate katọrọ nkatọ na-ezighi ezi nke Maguire,Southgate Condemns Unfair Criticism Of Maguire
Nnwale Doping dara ada: Pogba dị ọcha -Deschamps,Failed Doping Test: Pogba Is Innocent –Deschamps
Nanị: Boniface kwesịrị ịmụta n'aka Osimhen -Ugbade,Exclusive: Boniface Must Learn From Osimhen –Ugbade
Richarlison ka 'ịchọ enyemaka mmụọ' na Spurs maka ụdị ka mma,Richarlison To ‘Seek Psychological Help’ At Spurs For Better Form
Super Eagles ga-alụ Saudi Arabia n'asọmpi enyi n'ọnwa na-abịa,Super Eagles Tackle Saudi Arabia In Friendly Next Month
Oparanozie ekwuputala ezumike nka site na bọọlụ ọkachamara na 29,Oparanozie Announces Retirement From Professional Football At 29
"Liverpool, ọ bụghị Germany bụ isi ihe m lekwasịrị anya -Klopp","Liverpool, Not Germany Is My Main Focus –Klopp"
NFF nyere ndị kọmitii nka nka ka ya na Waldrum kparịta ụka,NFF Mandates Technical Committee To Discuss With Waldrum
South Africa meriri DR Congo n'egwuregwu enyi na enyi iji gbatịa ọsọ na-enweghị mmeri,South Africa Beat DR Congo In Friendly Game To Extend Unbeaten Run
"Hojlund na-atụ anya nnukwu egwuregwu Man United megide Brighton, Bayern","Hojlund Looking Forward To Man United’s Big Games against Brighton, Bayern"
Amachibidoro onye mmeri Grand Slam ugboro abụọ ruo afọ anọ,Two-Time Grand Slam Champion Banned For Four Years
"Naanị: Ọ nweghị asọmpi na Uzoho, Okoye, ndị ọzọ - Super Eagles Goalie Adeleye","EXCLUSIVE: No Rivalry With Uzoho, Okoye, Others — Super Eagles Goalie Adeleye"
Ọ nweghị ihe dị mma karịa mmeri Champions League - Mikel,There Is Nothing Better Than Winning Champions League –Mikel
Peseiro: Ana m anabata mbelata ụgwọ ọnwa n'ihi na achọrọ m imeri aha AFCON 2023,Peseiro: I Accepted Pay Cut Because I Want To Win 2023 AFCON Title
Bonucci ga-eme ihe gbasara iwu megide Juventus klọb mbụ,Bonucci To Take Legal Action Against Former Club Juventus
Nanị: Achọrọ m ịbụ onye mbido mgbe niile na Super Eagles - Onyemaechi,EXCLUSIVE: I Want To Be A Regular Starter In Super Eagles — Onyemaechi
Emechaala m igwu egwu na England –Plumptre,I’m Done Playing In England –Plumptre
Naanị: Super Eagles ga-agbasi mbọ ike iji nweta mmeri AFCON na-abịa - Collins,EXCLUSIVE: Super Eagles Will Work Hard To Win Next AFCON — Collins
Pogba nwalere ihe ọma maka ihe amachibidoro,Pogba Tests Positive For Banned Substance
Zlatan dị njọ -Pogba,Zlatan Was Too Harsh –Pogba
Rice: Mụ na West Ham ka dị n'ezigbo mma,Rice: I’m Still In Good Terms With West Ham
Nanị: Mwakpo Ugo ga-atụ ndị mmegide egwu na 2023 AFCON -Unuanel,Exclusive: Eagles Attack Will Scare Opponents In 2023 AFCON –Unuanel
Chelsea mbinye aka ọhụrụ Lavia ga-apụ maka izu isii site na mmerụ ahụ,Chelsea New Signing Lavia To Be Out For Six Weeks Through Injury
Nanị: Ọ ga-esi ike ịkọ ebe ugo ga-agwụ na 2023 AFCON - Adepoju,Exclusive: It’ll Be Difficult To Predict Where Eagles Will Finish In 2023 AFCON –Adepoju
Peseiro: 'Ezigbo Player' Torunarigha ga-eme egwuregwu mbụ Super Eagles n'oge adịghị anya,Peseiro: ‘Good Player’ Torunarigha Will Make Super Eagles Debut Soon
2023 AFCONQ: Nottingham Forest mere mmemme nke Awoniyi megide Sao Tome,2023 AFCONQ: Nottingham Forest Celebrate Awoniyi’s Goal Against Sao Tome
"2023 AFCONQ: Anyị ga-abụ nnukwu otu n'ọdịnihu - Sao Tome Star, Cardoso","2023 AFCONQ: We Will Be A Big Team In Future —Sao Tome Star, Cardoso"
Ndidi: Super Eagles ga-eru eru maka Iko Mbaụwa nke 2026,Ndidi: Super Eagles Must Qualify For 2026 World Cup
"2023 AFCONQ: Osimhen apụtala ọkaibe n'ihu Salah, Mane","2023 AFCONQ: Osimhen Emerges Top Scorer Ahead Salah, Mane"
Bayer Leverkusen Hail Boniface si Nigeria mpụta mbụ na 6-0 meriri Sao Tome,Bayer Leverkusen Hail Boniface’s Nigeria Debut In 6-0 Win Over Sao Tome
"2023 AFCONQ: Anyị nyere ihe kacha mma anyị megide 'Top Team' Super Eagles - Sao Tome Forward, Cardoso","2023 AFCONQ: We Gave Our Best Against ‘Top Team’ Super Eagles –Sao Tome Forward, Cardoso"
2023 AFCONQ: Peseiro kwadoro nkwado Super Eagles na mmeri ha meriri Sao Tome,2023 AFCONQ: Peseiro Lauds Super Eagles Commitment In Win Against Sao Tome
2023 AFCONQ: Ka ndị Super Eagles si gosi na ha meriri São Tomé 6-0,2023 AFCONQ: How Super Eagles Players Rated In 6-0 Win Against São Tomé
Super Eagles nwere ike imeri 2023 AFCON - Sao Tome and Principe Coach,Super Eagles Can Win 2023 AFCON — Sao Tome And Principe Coach
"Mịnịsta na-ahụ maka egwuregwu Enoh ji aka na-emeri mmeri Super Eagles Vs Sao Tome na Uyo, chọrọ aha AFCON.","Sports Minister Enoh Thumbs Up Super Eagles’ Win Vs Sao Tome In Uyo, Wants AFCON Title"
2023 AFCONQ: Adepoju na-ebuli ihe ngosi Eagles megide Sao Tome,2023 AFCONQ: Adepoju Thumbs Up Eagles’ Display Against Sao Tome
